# ARK Zero-Parameter Inverse Solver V5.4 (Final)
# alpha = 4pi/3 = 4.188790 (DERIVED)
# Free parameters: 0
# Upsilon_disk = 0.5, Upsilon_bulge = 0.7
# Global r = 0.8922, Global RMS = 34.8 km/s
# chi2/N (composite) = 7.6581
#
# Galaxy                Rad     Vobs     errV  Vbar_meas  Vbar_pred     kappa     Vgas    Vdisk     Vbul
#                       kpc     km/s     km/s       km/s       km/s               km/s     km/s     km/s
  F563-V2             1.460    58.50     8.68     19.957     31.101    0.5746     4.98    27.33     0.00
  F563-V2             2.050    81.50    14.20     25.883     43.661    0.5861     7.20    35.16     0.00
  F563-V2             2.350    91.80    17.50     27.909     48.789    0.5786     8.24    37.71     0.00
  F563-V2             4.760   114.00     8.68     35.936     68.751    0.7891    16.62    45.06     0.00
  F563-V2             7.860   116.00     8.68     45.007     72.086    1.0000    34.33    41.16     0.00
  F563-V2             8.700   117.00    16.60     48.676     70.196    1.0000    39.57    40.09     0.00
  F563-V2            10.180   118.00    51.90     47.875     65.787    1.0000    39.57    38.11     0.00
  F563-V2            10.470   118.00    40.30     47.744     64.708    1.0000    39.57    37.78     0.00
  F565-V2             1.260    21.70    10.00      9.873     13.385    0.6823     5.70    11.40     0.00
  F565-V2             2.510    40.30    10.00     16.215     25.482    0.7222    10.70    17.23     0.00
  F565-V2             3.780    57.70     7.00     20.023     38.031    0.7983    14.75    19.15     0.00
  F565-V2             5.030    68.50     7.00     22.401     47.848    0.9277    18.18    18.51     0.00
  F565-V2             6.290    73.50     7.00     25.895     51.877    1.0000    21.50    20.41     0.00
  F565-V2             7.540    78.50     5.00     28.664     53.505    1.0000    24.72    20.52     0.00
  F565-V2             8.800    83.10     6.00     30.157     54.163    1.0000    27.11    18.68     0.00
  F567-2              1.920    26.90     8.00     15.250     12.480    0.4038    -8.25    24.52     0.00
  F567-2              3.830    46.80     5.00     19.579     23.256    0.4560   -11.91    32.41     0.00
  F567-2              5.750    47.60     5.00     23.148     25.944    0.5426    -2.02    32.86     0.00
  F567-2              7.670    48.10     8.00     29.121     28.701    0.6558    17.45    32.97     0.00
  F567-2              9.590    52.20    10.00     33.656     34.693    0.8476    24.22    33.05     0.00
  F568-1              0.440    15.70     9.10      8.416     10.669    0.8364    -2.08    12.26     0.00
  F568-1              1.320    44.50     9.10     19.411     30.562    0.8591    -5.39    28.49     0.00
  F568-1              2.200    69.40     9.10     24.557     48.605    0.9040    -6.26    35.84     0.00
  F568-1              3.080    90.00    11.40     28.170     64.761    0.9730    -3.53    40.15     0.00
  F568-1              3.960   105.00     9.88     29.211     75.569    1.0000     1.83    41.23     0.00
  F568-1              4.840   113.00    16.20     31.163     80.063    1.0000     8.40    42.44     0.00
  F568-1              5.530   117.00    24.80     33.448     81.827    1.0000    13.64    43.19     0.00
  F568-1              7.480   124.00     9.10     43.100     83.369    1.0000    27.27    47.20     0.00
  F568-1              8.370   127.00     9.10     47.046     83.726    1.0000    32.13    48.60     0.00
  F568-1              9.240   130.00     9.10     50.133     83.950    1.0000    36.26    48.96     0.00
  F568-1             10.130   133.00     9.10     52.709     83.926    1.0000    39.77    48.92     0.00
  F568-1             13.230   142.00    23.80     59.125     80.744    1.0000    47.41    49.96     0.00
  F568-3              0.640    12.40     8.60      9.661      8.262    0.8137     1.18    13.56     0.00
  F568-3              1.180    21.90     6.20     15.049     14.706    0.8278     1.55    21.17     0.00
  F568-3              1.800    32.30     1.88     19.666     22.003    0.8543     1.60    27.72     0.00
  F568-3              2.030    37.90     6.20     21.100     26.172    0.8791     1.54    29.76     0.00
  F568-3              2.780    53.10     9.50     25.780     37.629    0.9328     1.46    36.40     0.00
  F568-3              3.000    62.40    11.00     26.975     44.965    0.9678     1.62    38.08     0.00
  F568-3              3.640    68.00     6.20     30.127     49.506    1.0000     2.96    42.40     0.00
  F568-3              4.190    78.00     7.98     32.555     56.444    1.0000     5.28    45.43     0.00
  F568-3              4.600    82.30     6.20     33.540     59.254    1.0000     6.86    46.43     0.00
  F568-3              5.140    85.70     6.30     34.540     61.273    1.0000     8.92    47.19     0.00
  F568-3              5.390    85.50     6.51     35.308     60.932    1.0000     9.95    47.91     0.00
  F568-3              6.310    89.50    15.60     38.520     63.026    1.0000    14.48    50.48     0.00
  F568-3              9.100    95.20    15.50     45.041     64.572    1.0000    26.69    51.31     0.00
  F568-3             10.170    97.50     6.20     47.398     65.151    1.0000    29.90    52.01     0.00
  F568-3             11.990   101.00    10.20     49.682     65.686    1.0000    33.72    51.60     0.00
  F568-3             14.020   107.00    10.70     50.815     67.239    1.0000    36.41    50.13     0.00
  F568-3             15.940   117.00    11.70     52.064     70.586    1.0000    38.69    49.27     0.00
  F568-3             17.980   120.00    12.00     52.154     68.494    1.0000    39.00    48.97     0.00
  F568-V1             0.390    17.40    30.40      8.591     11.663    0.7597    -1.11    12.25     0.00
  F568-V1             1.180    46.30    37.10     20.312     31.453    0.7837    -2.76    28.99     0.00
  F568-V1             1.950    69.10    13.10     24.452     47.998    0.8261    -2.63    34.78     0.00
  F568-V1             2.740    85.20     6.20     26.220     60.910    0.8870    -0.03    37.08     0.00
  F568-V1             3.530    93.20     6.20     29.385     68.657    0.9592     3.84    41.20     0.00
  F568-V1             4.300   100.00    12.40     32.221     74.408    1.0000     7.34    44.37     0.00
  F568-V1             5.090   108.00     6.20     33.567     79.359    1.0000     9.92    45.35     0.00
  F568-V1             5.870   112.00     6.20     34.021     81.207    1.0000    12.15    44.94     0.00
  F568-V1             6.400   113.00    24.90     34.702     81.171    1.0000    13.65    45.12     0.00
  F568-V1             7.440   113.00    15.50     36.579     79.688    1.0000    17.06    45.76     0.00
  F568-V1             8.210   112.00    13.10     38.122     77.918    1.0000    19.87    46.01     0.00
  F568-V1             9.000   111.00    26.40     38.981     76.163    1.0000    22.99    44.52     0.00
  F568-V1             9.720   111.00    19.40     40.443     75.207    1.0000    26.10    43.69     0.00
  F568-V1            11.790   113.00    12.50     44.753     73.671    1.0000    34.23    40.77     0.00
  F568-V1            17.630   118.00    14.60     42.972     66.505    1.0000    36.03    33.12     0.00
  F571-8              0.220    12.40     7.00     27.091      7.518    0.6653     0.92    38.29     0.00
  F571-8              0.780    37.50     4.00     60.651     22.990    0.6815     2.67    85.69     0.00
  F571-8              1.330    56.50     4.00     73.642     35.315    0.7107     3.90   104.00     0.00
  F571-8              2.330    69.10     4.00     81.104     44.722    0.7684     5.34   114.45     0.00
  F571-8              3.440    85.50     7.50     76.217     57.518    0.8410     7.09   107.32     0.00
  F571-8              3.780    87.10     8.40     73.688     59.429    0.8694     7.29   103.70     0.00
  F571-8              4.770   105.00     4.00     65.618     74.115    0.9482     8.42    92.03     0.00
  F571-8              5.440   112.00     6.70     61.766     80.484    1.0000     8.94    86.43     0.00
  F571-8              6.110   116.00     4.00     58.343     82.558    1.0000     9.45    81.42     0.00
  F571-8              7.220   124.00     4.00     54.910     86.754    1.0000    10.47    76.23     0.00
  F571-8              9.330   135.00     4.00     49.698     90.959    1.0000    11.28    68.45     0.00
  F571-8             11.100   140.00     4.00     46.932     90.861    1.0000    11.80    64.24     0.00
  F571-8             15.550   144.00     5.00     40.786     82.510    1.0000    11.28    55.43     0.00
  F571-V1             1.950    32.00    10.00     18.583     18.771    0.6029     7.85    23.82     0.00
  F571-V1             3.880    57.60    10.00     29.336     35.267    0.6609    15.10    35.57     0.00
  F571-V1             5.830    70.90     7.00     31.397     46.233    0.7629    20.84    33.21     0.00
  F571-V1             7.780    77.00     6.00     34.499     54.092    0.9192    25.68    32.58     0.00
  F571-V1             9.720    82.50     6.00     37.166     58.625    1.0000    29.50    31.97     0.00
  F571-V1            11.660    84.30     6.00     37.042     57.557    1.0000    30.81    29.08     0.00
